record_type	panel	metric	outcome	gene_symbol	in_literature_panel	in_biology_guided_panel	value	n	notes	mean	median	q1	q3	minimum	maximum	variant
sensitivity_total_mediation	literature	cis_only_instrument_set	wet_AMD	TOTAL	NA	NA	0.0965305254268515	25	Two-step mediation rerun using cis-only protein instruments; unavailable results are NA, not zero.	NA	NA	NA	NA	NA	NA	rs7412
sensitivity_subset	literature	strict_annotation_sensitivity	all	NA	NA	NA	18	18	High-confidence target annotation only; all retained alpha and beta estimates use the same UKB-PPP assay.	NA	NA	NA	NA	NA	NA	NA
sensitivity_total_mediation	literature	strict_annotation_sensitivity	AD	TOTAL	NA	NA	0.00540447794408946	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs429358
sensitivity_total_mediation	literature	strict_annotation_sensitivity	any_AMD	TOTAL	NA	NA	0.0233678072610322	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs429358
sensitivity_total_mediation	literature	strict_annotation_sensitivity	dry_AMD	TOTAL	NA	NA	0.00767271226235054	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs429358
sensitivity_total_mediation	literature	strict_annotation_sensitivity	wet_AMD	TOTAL	NA	NA	0.0219964976590234	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs429358
sensitivity_total_mediation	literature	strict_annotation_sensitivity	AD	TOTAL	NA	NA	-0.0220621932984002	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs7412
sensitivity_total_mediation	literature	strict_annotation_sensitivity	any_AMD	TOTAL	NA	NA	0.0840953197949087	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs7412
sensitivity_total_mediation	literature	strict_annotation_sensitivity	dry_AMD	TOTAL	NA	NA	0.14954141498451	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs7412
sensitivity_total_mediation	literature	strict_annotation_sensitivity	wet_AMD	TOTAL	NA	NA	0.0122168013864099	18	High-confidence mapping sensitivity; moderate mappings are excluded uniformly rather than protein-by-protein.	NA	NA	NA	NA	NA	NA	rs7412
