"record_id"	"protein_name"	"gene_symbol"	"UniProt_ID"	"assay_target_name"	"assay_target_ID"	"proteomic_platform"	"protein_form_or_isoform"	"disease"	"disease_subtype"	"outcome_definition"	"source_study_first_author"	"publication_year"	"journal"	"PMID"	"DOI"	"publication_status"	"pQTL_source"	"pQTL_sample_size"	"ancestry"	"cis_trans_status"	"instrument_definition"	"instrument_SNPs"	"MR_method"	"beta_or_logOR"	"SE"	"OR"	"CI_lower"	"CI_upper"	"P_value"	"multiple_testing_method"	"corrected_significance"	"colocalization_method"	"PP_H4"	"SMR_P"	"HEIDI_P"	"replication_dataset"	"replication_status"	"effect_direction"	"outcome_GWAS"	"overlap_with_primary_outcome_GWAS"	"same_outcome_reanalysis"	"evidence_tier"	"high_complexity_locus"	"assay_cross_reactivity_risk"	"inclusion_status"	"exclusion_reason"	"APOE_rs429358_alpha_available"	"APOE_rs7412_alpha_available"	"alpha_source"	"eligible_for_two_step_MR"	"manual_verification_status"	"notes"	"source_table_file"	"source_sheet"	"source_row"	"beta_source_type"	"mapping_confidence"	"evidence_independence"	"duplicate_group"	"allele_harmonization_status"	"derived_field_notes"
"EVID_40050982_PILRA_66c9573b2555"	"PILRA"	"PILRA"	"Q9UKJ1"	"PILRA"	"Q9UKJ1"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs118107707;rs143258652;rs148092638;rs221789;rs76909436;rs7792939"	"Inverse variance weighted"	"0.058268908123975824"	"not_reported_directly"	"1.06"	"1.03"	"1.1"	"0.0006290166049576"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"0.9947"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"independent_outcome_replication_corrected_same_direction"	"higher_protein_higher_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier1"	"false"	"Olink assay review required"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\PILRA_Q9UKJ1_OID21129_v1_Neurology.tar"	"true"	"full_text_and_source_table_verified"	"Replication P=0.00146020772482174; replication PP.H4=0.9949."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"64"	"published_beta"	"high"	"independent_outcome_replication"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"EVID_41350740_PILRA_290e17ad5eca"	"PILRA isoform FDF03-M14"	"PILRA"	"not_reported"	"PILRA isoform FDF03-M14"	"deCODE protein label requires cross-platform mapping"	"deCODE SomaScan"	"PILRA isoform FDF03-M14"	"AD"	"AD"	"European AD meta-analysis; AD GWAS 1"	"Liu X"	"2025"	"Alzheimer's research & therapy"	"41350740"	"10.1186/s13195-025-01901-9"	"peer_reviewed"	"deCODE"	"35559"	"European"	"cis_pQTL"	"cis-pQTL within +/-1 Mb; P<5e-8; MHC excluded; r2<0.001"	"reported in Table S3"	"Wald ratio"	"-0.046"	"0.008307692"	"0.955041962"	"0.939616865"	"0.970720283"	"3.08e-08"	"Benjamini-Hochberg FDR"	"true"	"Bayesian coloc within +/-1 Mb"	"0.993"	"reported in Table S24"	"0.2536509"	"IGAP; FinnGen; ARIC; INTERVAL as available"	"independent_external_replication_reported"	"higher_protein_lower_risk"	"AD GWAS 1 (398058 participants)"	"partially_overlaps_or_reuses_components_of_Wightman_2021"	"possible"	"Tier1"	"false"	"SomaScan assay mapping review required"	"primary_high_confidence_panel"	"NA"	"false"	"false"	"not_available_or_target_mapping_unresolved"	"false"	"full_text_and_source_table_verified"	"Source-paper tier was not copied automatically; raw FDR, colocalization and replication fields drive study-specific evidence tiering."	"data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx"	"Table S6"	"6"	"published_beta"	"high"	"partially_overlapping"	"AD_deCODE_multiomics_2025"	"not_applicable_to_published_beta"	"none"
"EVID_41350740_PILRA_907ea888b4cd"	"PILRA isoform FDF03-deltaTM"	"PILRA"	"not_reported"	"PILRA isoform FDF03-deltaTM"	"deCODE protein label requires cross-platform mapping"	"deCODE SomaScan"	"PILRA isoform FDF03-deltaTM"	"AD"	"AD"	"European AD meta-analysis; AD GWAS 1"	"Liu X"	"2025"	"Alzheimer's research & therapy"	"41350740"	"10.1186/s13195-025-01901-9"	"peer_reviewed"	"deCODE"	"35559"	"European"	"cis_pQTL"	"cis-pQTL within +/-1 Mb; P<5e-8; MHC excluded; r2<0.001"	"reported in Table S3"	"Wald ratio"	"-0.045648855"	"0.008244275"	"0.955377379"	"0.940063706"	"0.970940513"	"3.08e-08"	"Benjamini-Hochberg FDR"	"true"	"Bayesian coloc within +/-1 Mb"	"0.993"	"reported in Table S24"	"0.2536509"	"IGAP; FinnGen; ARIC; INTERVAL as available"	"independent_external_replication_reported"	"higher_protein_lower_risk"	"AD GWAS 1 (398058 participants)"	"partially_overlaps_or_reuses_components_of_Wightman_2021"	"possible"	"Tier1"	"false"	"SomaScan assay mapping review required"	"primary_high_confidence_panel"	"NA"	"false"	"false"	"not_available_or_target_mapping_unresolved"	"false"	"full_text_and_source_table_verified"	"Source-paper tier was not copied automatically; raw FDR, colocalization and replication fields drive study-specific evidence tiering."	"data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx"	"Table S6"	"7"	"published_beta"	"high"	"partially_overlapping"	"AD_deCODE_multiomics_2025"	"not_applicable_to_published_beta"	"none"
"EVID_41630303_PILRA_092a4885ad64"	"PILRA"	"PILRA"	"not_reported"	"PILRA"	"10816_150_PILRA_PILRA_isoform_FDF03_M14"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"26 SNPs; IDs in Table S2"	"IVW"	"-0.059083748"	"0.019353738"	"0.942627823"	"0.907540511"	"0.97907168"	"0.002266913"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\PILRA_Q9UKJ1_OID21129_v1_Neurology.tar"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"21"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"PMID42384774_SeqId_10816_150"	"PILRA"	"PILRA"	"mapping_unresolved"	"PILRA"	"SeqId_10816_150"	"SomaScan cis-PWAS"	"aptamer_specific_target"	"AD"	"AD"	"AD dementia GWAS"	"Walker KA"	"2026"	"Science Translational Medicine"	"42384774"	"10.1126/scitranslmed.adx4852"	"peer_reviewed"	"published plasma cis-pQTL prediction models"	"not_reported"	"European American"	"cis_prediction_model"	"not_reported"	"not_reported"	"proteome-wide association study"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"4.71e-18"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"negative_PWAS_Z"	"published AD GWAS"	"likely_overlap"	"false"	"Tier2"	"FALSE"	"SomaScan_cross_platform_review_required"	"literature_source_universe_tier2"	"PWAS_Z_not_standardized_beta;same_assay_alpha_beta_not_available"	"false"	"false"	"not_available_for_same_SomaScan_assay"	"false"	"full_text_and_source_table_verified"	"Bonferroni-significant PWAS candidate; retained as external evidence and not interpreted as a de novo discovery in the present analysis."	"adx4852_tables_s1_to_s30.xlsx"	"ST 1. AD PWAS Results"	"11"	"published_PWAS_Z_not_beta"	"moderate"	"partially_overlapping"	"AD_plasma_cis_PWAS_2026"	"not_applicable_to_PWAS_Z"	"PWAS.Z=-8.6601; no beta/SE conversion performed."
"PMID42384774_SeqId_6402_8"	"PILRA"	"PILRA"	"mapping_unresolved"	"PILRA"	"SeqId_6402_8"	"SomaScan cis-PWAS"	"aptamer_specific_target"	"AD"	"AD"	"AD dementia GWAS"	"Walker KA"	"2026"	"Science Translational Medicine"	"42384774"	"10.1126/scitranslmed.adx4852"	"peer_reviewed"	"published plasma cis-pQTL prediction models"	"not_reported"	"European American"	"cis_prediction_model"	"not_reported"	"not_reported"	"proteome-wide association study"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"6.62e-18"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"negative_PWAS_Z"	"published AD GWAS"	"likely_overlap"	"false"	"Tier2"	"FALSE"	"SomaScan_cross_platform_review_required"	"literature_source_universe_tier2"	"PWAS_Z_not_standardized_beta;same_assay_alpha_beta_not_available"	"false"	"false"	"not_available_for_same_SomaScan_assay"	"false"	"full_text_and_source_table_verified"	"Bonferroni-significant PWAS candidate; retained as external evidence and not interpreted as a de novo discovery in the present analysis."	"adx4852_tables_s1_to_s30.xlsx"	"ST 1. AD PWAS Results"	"12"	"published_PWAS_Z_not_beta"	"moderate"	"partially_overlapping"	"AD_plasma_cis_PWAS_2026"	"not_applicable_to_PWAS_Z"	"PWAS.Z=-8.6213; no beta/SE conversion performed."
"EVID_40037332_PILRB_018bb1fd770c"	"PILRB"	"PILRB"	"Q9UKJ0"	"PILRB"	"OID20197"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs1859788"	"Wald ratio using lead cis-pQTL"	"0.0656752867297544"	"0.00767519951157821"	"1.067879906085426"	"1.051935599974124"	"1.0840658818363686"	"1.16025304745144e-17"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.99467919849473"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier1"	"false"	"assay_specific_review_required"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\PILRB_Q9UKJ0_OID20197_v1_Cardiometabolic.tar"	"true"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"10"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40050982_PILRB_5c270164ad66"	"PILRB"	"PILRB"	"Q9UKJ0"	"PILRB"	"Q9UKJ0"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs10281471;rs117009535;rs13236076;rs145717836;rs2720393;rs77484847"	"Inverse variance weighted"	"0.0769610411361284"	"not_reported_directly"	"1.08"	"1.05"	"0.11"	"9.75944890380494e-09"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"0.9947"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"independent_outcome_replication_corrected_same_direction"	"higher_protein_higher_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier1"	"false"	"Olink assay review required"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\PILRB_Q9UKJ0_OID20197_v1_Cardiometabolic.tar"	"true"	"full_text_and_source_table_verified"	"Replication P=3.52418874309067e-05; replication PP.H4=0.9949."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"14"	"published_beta"	"high"	"independent_outcome_replication"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"EVID_40037332_PLOD2_bf8dc050b276"	"PLOD2"	"PLOD2"	"O00469"	"PLOD2"	"6923_1"	"SomaScan"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"SomaScan"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs148118826"	"Wald ratio using lead cis-pQTL"	"-0.52552739982524"	"0.131194607414804"	"0.5912434604272996"	"0.45718423450853934"	"0.7646126071556791"	"6.18317733737273e-05"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.93968959798413"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier1"	"false"	"assay_specific_review_required"	"primary_high_confidence_panel"	"NA"	"false"	"false"	"not_available_or_target_mapping_unresolved"	"false"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"1913"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40037332_PRSS53_973430d202b7"	"PRSS53"	"PRSS53"	"Q2L4Q9"	"PRSS53"	"OID31093"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs4468641"	"Wald ratio using lead cis-pQTL"	"-0.0423685726875233"	"0.00949056028200521"	"0.9585164324817019"	"0.9408513982464237"	"0.9765131380469213"	"8.0336303954979e-06"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.00235010036976843"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"27"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40037332_PRSS8_5b0fc45ef407"	"PRSS8"	"PRSS8"	"Q16651"	"PRSS8"	"OID20763"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs889555"	"Wald ratio using lead cis-pQTL"	"-0.482894233111753"	"0.0791772526363414"	"0.6169950775720383"	"0.5283049272303"	"0.7205742481787936"	"1.06800119949768e-09"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.984843891737627"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier1"	"false"	"assay_specific_review_required"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\PRSS8_Q16651_OID20763_v1_Inflammation.tar"	"true"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"17"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40050982_PRSS8_fd3b55642647"	"PRSS8"	"PRSS8"	"Q16651"	"PRSS8"	"Q16651"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs889555"	"Wald ratio"	"-0.4780358009429998"	"not_reported_directly"	"0.62"	"0.53"	"0.72"	"1.06800119949768e-09"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_lower_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=0.0176580605080629; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"13"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"PMID40452368_UKB-PPP_PRSS8"	"PRSS8"	"PRSS8"	"not_reported"	"PRSS8"	"not_reported"	"UKB-PPP Olink"	"assay_specific_target"	"AD"	"AD"	"AD GWAS"	"Yu K"	"2025"	"Journal of Alzheimer's Disease"	"40452368"	"10.1177/13872877251344572"	"peer_reviewed"	"UKB-PPP"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"not_reported"	"not_reported"	"study-reported MR"	"-0.4828943588372994"	"not_reported"	"0.616995"	"0.53"	"0.72"	"1.07e-09"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"published AD GWAS"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"published_cross_platform_beta_not_same_assay_primary_analysis_beta;highest_tier_requires_colocalization_or_replication_review"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Study-Bonferroni-significant protein-outcome association; same dataset reports GRN/CR1 colocalization support."	"PMID40452368_supp5.xlsx"	"Supplemental Table 3"	"27"	"published_beta"	"moderate"	"partially_overlapping"	"AD_UKB-PPP_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_41630303_PSD2_93bd7d313ace"	"PSD2"	"PSD2"	"not_reported"	"PSD2"	"9118_7_PSD2_PSD2"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"22 SNPs; IDs in Table S2"	"IVW"	"-0.352032422"	"0.088541098"	"0.703257321"	"0.591216516"	"0.836530858"	"7.01e-05"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"10"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_41630303_PSME1_a9a36064bc6c"	"PSME1"	"PSME1"	"not_reported"	"PSME1"	"5918_5_PSME1_PSME1"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"3 SNPs; IDs in Table S2"	"IVW"	"-1.200535683"	"0.21846021"	"0.301032911"	"0.196180977"	"0.461924569"	"3.9e-08"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"7"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_40037332_PVR_1bc4d4465d88"	"PVR"	"PVR"	"P15151"	"PVR"	"OID21011"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs2301274"	"Wald ratio using lead cis-pQTL"	"0.085452804492376"	"0.0130976768790397"	"1.089210154304843"	"1.0616044096552095"	"1.1175337531106289"	"6.83326780035207e-11"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"1.30167543269089e-98"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"15"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"PMID42384774_SeqId_6245_4"	"PVRL2"	"PVRL2"	"mapping_unresolved"	"PVRL2"	"SeqId_6245_4"	"SomaScan cis-PWAS"	"aptamer_specific_target"	"AD"	"AD"	"AD dementia GWAS"	"Walker KA"	"2026"	"Science Translational Medicine"	"42384774"	"10.1126/scitranslmed.adx4852"	"peer_reviewed"	"published plasma cis-pQTL prediction models"	"not_reported"	"European American"	"cis_prediction_model"	"not_reported"	"not_reported"	"proteome-wide association study"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"7.69e-13"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"positive_PWAS_Z"	"published AD GWAS"	"likely_overlap"	"false"	"Tier2"	"TRUE"	"SomaScan_cross_platform_review_required"	"literature_source_universe_tier2"	"PWAS_Z_not_standardized_beta;same_assay_alpha_beta_not_available"	"false"	"false"	"not_available_for_same_SomaScan_assay"	"false"	"full_text_and_source_table_verified"	"Bonferroni-significant PWAS candidate; retained as external evidence and not interpreted as a de novo discovery in the present analysis."	"adx4852_tables_s1_to_s30.xlsx"	"ST 1. AD PWAS Results"	"14"	"published_PWAS_Z_not_beta"	"moderate"	"partially_overlapping"	"AD_plasma_cis_PWAS_2026"	"not_applicable_to_PWAS_Z"	"PWAS.Z=7.16655; no beta/SE conversion performed."
